matchId,season,date,home,away,venue,p_v3,pred_v3,p_w,pred_w,actual
1198,2022,2022-03-16,Melbourne,Western Bulldogs,MCG,0.6980,15.10,0.5810,6.60,26
1199,2022,2022-03-17,Carlton,Richmond,MCG,0.3623,-9.88,0.3560,-11.90,25
1200,2022,2022-03-18,St Kilda,Collingwood,Marvel Stadium,0.6977,15.07,0.5860,7.00,-17
1201,2022,2022-03-19,Geelong,Essendon,MCG,0.6712,12.70,0.5920,7.50,66
1202,2022,2022-03-19,GWS Giants,Sydney,Accor Stadium,0.5211,1.37,0.4740,-2.10,-20
1203,2022,2022-03-19,Brisbane Lions,Port Adelaide,Gabba,0.5983,6.81,0.7230,19.10,11
1204,2022,2022-03-20,Hawthorn,North Melbourne,MCG,0.5606,4.06,0.6890,15.90,20
1205,2022,2022-03-20,Adelaide,Fremantle,Adelaide Oval,0.6492,10.83,0.6730,14.50,-1
1206,2022,2022-03-20,West Coast,Gold Coast,Perth Stadium,0.5676,4.56,0.6580,13.20,-27
1207,2022,2022-03-24,Western Bulldogs,Carlton,Marvel Stadium,0.8199,28.46,0.6670,13.80,-12
1208,2022,2022-03-25,Sydney,Geelong,SCG,0.5312,2.04,0.4280,-5.80,30
1209,2022,2022-03-26,Collingwood,Adelaide,MCG,0.7046,15.71,0.7080,17.50,42
1210,2022,2022-03-26,Essendon,Brisbane Lions,Marvel Stadium,0.4288,-4.81,0.2970,-17.00,-22
1211,2022,2022-03-26,Port Adelaide,Hawthorn,Adelaide Oval,0.7729,22.71,0.6020,8.30,-64
1212,2022,2022-03-26,Gold Coast,Melbourne,Carrara,0.1857,-27.73,0.2140,-25.40,-13
1213,2022,2022-03-27,North Melbourne,West Coast,Marvel Stadium,0.7309,18.26,0.5370,2.90,15
1214,2022,2022-03-27,Richmond,GWS Giants,MCG,0.4826,-1.13,0.4680,-2.60,36
1215,2022,2022-03-27,Fremantle,St Kilda,Perth Stadium,0.4799,-1.30,0.5540,4.30,-10
1216,2022,2022-03-31,Western Bulldogs,Sydney,Marvel Stadium,0.5601,4.02,0.5750,6.10,11
1218,2022,2022-04-01,Melbourne,Essendon,MCG,0.8399,31.24,0.7860,25.30,29
1217,2022,2022-04-01,Adelaide,Port Adelaide,Adelaide Oval,0.3557,-10.43,0.3830,-9.50,4
1219,2022,2022-04-02,GWS Giants,Gold Coast,Sydney Showground,0.6481,10.74,0.6210,9.80,26
1220,2022,2022-04-02,Collingwood,Geelong,MCG,0.3969,-7.17,0.3420,-13.00,-13
1221,2022,2022-04-02,Brisbane Lions,North Melbourne,Gabba,0.8753,36.85,0.9290,46.90,108
1222,2022,2022-04-03,Carlton,Hawthorn,MCG,0.5520,3.46,0.4500,-4.00,1
1223,2022,2022-04-03,St Kilda,Richmond,Marvel Stadium,0.6291,9.19,0.6550,12.80,33
1224,2022,2022-04-03,West Coast,Fremantle,Perth Stadium,0.5763,5.19,0.5170,1.40,-55
1225,2022,2022-04-07,Port Adelaide,Melbourne,Adelaide Oval,0.2832,-16.87,0.2460,-21.90,-32
1226,2022,2022-04-08,Geelong,Brisbane Lions,Kardinia Park,0.4802,-1.28,0.4610,-3.10,10
1227,2022,2022-04-09,Sydney,North Melbourne,SCG,0.8116,27.38,0.9090,42.60,11
1228,2022,2022-04-09,Collingwood,West Coast,Marvel Stadium,0.7584,21.11,0.8120,28.30,-13
1229,2022,2022-04-09,Richmond,Western Bulldogs,MCG,0.3603,-10.05,0.3230,-14.70,38
1230,2022,2022-04-09,Fremantle,GWS Giants,Perth Stadium,0.5359,2.36,0.6110,9.00,34
1231,2022,2022-04-10,Essendon,Adelaide,Marvel Stadium,0.6231,8.72,0.6060,8.60,4
1232,2022,2022-04-10,Hawthorn,St Kilda,MCG,0.5173,1.12,0.5390,3.20,-69
1233,2022,2022-04-10,Gold Coast,Carlton,Carrara,0.4794,-1.34,0.4510,-3.90,30
1234,2022,2022-04-14,Brisbane Lions,Collingwood,Gabba,0.8338,30.36,0.8240,29.80,7
1235,2022,2022-04-15,North Melbourne,Western Bulldogs,Marvel Stadium,0.2867,-16.53,0.1160,-38.30,-68
1236,2022,2022-04-15,West Coast,Sydney,Perth Stadium,0.2728,-17.89,0.4320,-5.50,-63
1237,2022,2022-04-16,St Kilda,Gold Coast,Marvel Stadium,0.7443,19.63,0.7310,19.70,26
1238,2022,2022-04-16,Adelaide,Richmond,Adelaide Oval,0.4654,-2.27,0.4620,-3.10,19
1239,2022,2022-04-16,Melbourne,GWS Giants,MCG,0.8825,38.13,0.8710,36.20,67
1240,2022,2022-04-17,Carlton,Port Adelaide,MCG,0.4669,-2.17,0.5670,5.40,3
1241,2022,2022-04-17,Essendon,Fremantle,Marvel Stadium,0.5966,6.68,0.5080,0.70,-48
1242,2022,2022-04-18,Hawthorn,Geelong,MCG,0.3126,-14.13,0.2610,-20.50,12
1243,2022,2022-04-22,GWS Giants,St Kilda,Manuka Oval,0.4126,-6.00,0.4590,-3.30,-17
1244,2022,2022-04-23,Western Bulldogs,Adelaide,Mars Stadium,0.7673,22.09,0.8290,30.30,-1
1245,2022,2022-04-23,Port Adelaide,West Coast,Adelaide Oval,0.8055,26.60,0.8600,34.60,84
1246,2022,2022-04-23,Fremantle,Carlton,Perth Stadium,0.6679,12.41,0.6690,14.00,35
1247,2022,2022-04-24,North Melbourne,Geelong,Ninja Stadium,0.2711,-18.06,0.1300,-36.00,-60
1248,2022,2022-04-24,Gold Coast,Brisbane Lions,Carrara,0.2361,-21.71,0.2100,-25.80,-52
1249,2022,2022-04-24,Richmond,Melbourne,MCG,0.2557,-19.63,0.2120,-25.50,-22
1250,2022,2022-04-25,Hawthorn,Sydney,UTAS Stadium,0.3167,-13.77,0.3910,-8.90,-41
1251,2022,2022-04-25,Essendon,Collingwood,MCG,0.5906,6.23,0.3910,-8.80,-11
1252,2022,2022-04-29,West Coast,Richmond,Perth Stadium,0.3817,-8.34,0.4150,-6.80,-109
1253,2022,2022-04-30,Geelong,Fremantle,Kardinia Park,0.7320,18.37,0.7780,24.30,-3
1254,2022,2022-04-30,Adelaide,GWS Giants,Adelaide Oval,0.5594,3.98,0.4960,-0.30,-59
1255,2022,2022-04-30,Melbourne,Hawthorn,MCG,0.8613,34.52,0.8230,29.40,10
1256,2022,2022-04-30,Carlton,North Melbourne,Marvel Stadium,0.6752,13.05,0.7650,22.90,50
1257,2022,2022-04-30,St Kilda,Port Adelaide,Cazalys Stadium,0.6258,8.93,0.5040,0.30,-1
1258,2022,2022-05-01,Collingwood,Gold Coast,MCG,0.6524,11.09,0.6840,15.20,25
1259,2022,2022-05-01,Western Bulldogs,Essendon,Marvel Stadium,0.7366,18.83,0.6780,14.70,32
1260,2022,2022-05-01,Sydney,Brisbane Lions,SCG,0.5242,1.58,0.5430,3.40,-24
1261,2022,2022-05-06,Port Adelaide,Western Bulldogs,Adelaide Oval,0.6081,7.55,0.6300,10.70,17
1262,2022,2022-05-06,Fremantle,North Melbourne,Perth Stadium,0.7488,20.09,0.8770,37.30,78
1263,2022,2022-05-07,Richmond,Collingwood,MCG,0.6567,11.45,0.5690,5.60,27
1264,2022,2022-05-07,Sydney,Gold Coast,SCG,0.8301,29.84,0.7940,26.30,-14
1265,2022,2022-05-07,GWS Giants,Geelong,Manuka Oval,0.5000,0.00,0.5540,4.40,-53
1266,2022,2022-05-07,Essendon,Hawthorn,Marvel Stadium,0.5431,2.84,0.4730,-2.20,27
1267,2022,2022-05-07,Brisbane Lions,West Coast,Gabba,0.9273,47.86,0.9720,61.50,75
1268,2022,2022-05-08,Melbourne,St Kilda,MCG,0.7834,23.91,0.6880,15.70,38
1269,2022,2022-05-08,Carlton,Adelaide,Marvel Stadium,0.6756,13.08,0.7220,18.90,48
1270,2022,2022-05-13,Collingwood,Western Bulldogs,Marvel Stadium,0.4335,-4.48,0.4480,-4.20,-48
1271,2022,2022-05-14,Hawthorn,Richmond,MCG,0.3764,-8.76,0.3620,-11.30,-23
1272,2022,2022-05-14,North Melbourne,Port Adelaide,Ninja Stadium,0.2776,-17.42,0.1890,-28.40,-69
1273,2022,2022-05-14,St Kilda,Geelong,Marvel Stadium,0.5230,1.50,0.4990,-0.10,10
1274,2022,2022-05-14,Sydney,Essendon,SCG,0.7737,22.80,0.7790,24.80,58
1275,2022,2022-05-14,Adelaide,Brisbane Lions,Adelaide Oval,0.1689,-29.99,0.2090,-26.10,-36
1276,2022,2022-05-15,Gold Coast,Fremantle,Carrara,0.4039,-6.64,0.4610,-3.10,36
1277,2022,2022-05-15,GWS Giants,Carlton,Sydney Showground,0.5992,6.88,0.5510,4.10,-30
1278,2022,2022-05-15,West Coast,Melbourne,Perth Stadium,0.0689,-48.89,0.0440,-54.80,-74
1279,2022,2022-05-20,Carlton,Sydney,Marvel Stadium,0.3773,-8.69,0.4080,-7.50,15
1280,2022,2022-05-21,Western Bulldogs,Gold Coast,Mars Stadium,0.7100,16.22,0.7150,18.40,19
1281,2022,2022-05-21,Geelong,Port Adelaide,Kardinia Park,0.6249,8.86,0.6770,14.90,35
1282,2022,2022-05-21,North Melbourne,Melbourne,Marvel Stadium,0.1014,-41.25,0.0440,-55.10,-47
1283,2022,2022-05-21,Adelaide,St Kilda,Adelaide Oval,0.3125,-14.14,0.2900,-17.90,-21
1284,2022,2022-05-21,Richmond,Essendon,MCG,0.7278,17.95,0.7630,23.10,32
1285,2022,2022-05-22,GWS Giants,West Coast,Sydney Showground,0.7200,17.18,0.8690,36.20,52
1286,2022,2022-05-22,Hawthorn,Brisbane Lions,UTAS Stadium,0.2052,-25.28,0.3020,-16.80,5
1287,2022,2022-05-22,Fremantle,Collingwood,Perth Stadium,0.6821,13.65,0.7420,21.00,-36
1288,2022,2022-05-27,Sydney,Richmond,SCG,0.6172,8.25,0.5900,7.30,6
1289,2022,2022-05-28,Geelong,Adelaide,Kardinia Park,0.8239,28.99,0.8580,34.50,42
1290,2022,2022-05-28,Brisbane Lions,GWS Giants,Gabba,0.8444,31.90,0.8500,33.30,14
1291,2022,2022-05-28,Melbourne,Fremantle,MCG,0.8510,32.89,0.8280,30.40,-38
1292,2022,2022-05-28,West Coast,Western Bulldogs,Perth Stadium,0.2051,-25.29,0.1450,-34.00,-101
1293,2022,2022-05-28,Gold Coast,Hawthorn,TIO Stadium,0.5896,6.16,0.5700,5.70,67
1294,2022,2022-05-29,St Kilda,North Melbourne,Marvel Stadium,0.8283,29.60,0.8730,36.70,53
1295,2022,2022-05-29,Collingwood,Carlton,MCG,0.5732,4.96,0.5120,0.90,4
1296,2022,2022-05-29,Port Adelaide,Essendon,Adelaide Oval,0.7760,23.07,0.8300,30.70,16
1297,2022,2022-06-03,Western Bulldogs,Geelong,Marvel Stadium,0.5729,4.94,0.5730,6.00,-13
1298,2022,2022-06-04,Adelaide,West Coast,Adelaide Oval,0.7191,17.09,0.8880,39.60,31
1299,2022,2022-06-04,Gold Coast,North Melbourne,TIO Stadium,0.7392,19.09,0.8650,35.90,62
1300,2022,2022-06-04,Melbourne,Sydney,MCG,0.7419,19.37,0.7330,20.20,-12
1301,2022,2022-06-05,Hawthorn,Collingwood,MCG,0.4410,-3.95,0.3890,-9.20,-4
1302,2022,2022-06-05,Fremantle,Brisbane Lions,Perth Stadium,0.3186,-13.59,0.4710,-2.40,14
1303,2022,2022-06-09,Richmond,Port Adelaide,MCG,0.5149,0.96,0.6320,10.90,12
1304,2022,2022-06-10,Essendon,Carlton,MCG,0.5074,0.47,0.3790,-9.90,-26
1305,2022,2022-06-11,Fremantle,Hawthorn,Perth Stadium,0.7676,22.12,0.8350,31.50,13
1306,2022,2022-06-11,Brisbane Lions,St Kilda,Gabba,0.7263,17.80,0.7720,24.10,21
1307,2022,2022-06-12,North Melbourne,GWS Giants,Marvel Stadium,0.4330,-4.51,0.2600,-20.80,-49
1308,2022,2022-06-13,Collingwood,Melbourne,MCG,0.3695,-9.30,0.3610,-11.50,26
1309,2022,2022-06-16,Richmond,Carlton,MCG,0.6624,11.94,0.6350,11.10,15
1310,2022,2022-06-17,St Kilda,Essendon,Marvel Stadium,0.7833,23.91,0.6630,13.50,-35
1311,2022,2022-06-18,Port Adelaide,Sydney,Adelaide Oval,0.4436,-3.77,0.4070,-7.50,23
1312,2022,2022-06-18,West Coast,Geelong,Perth Stadium,0.1540,-32.13,0.1200,-37.60,-18
1313,2022,2022-06-18,GWS Giants,Western Bulldogs,Sydney Showground,0.3482,-11.05,0.3920,-8.80,-20
1314,2022,2022-06-19,Gold Coast,Adelaide,Carrara,0.6841,13.83,0.7150,18.20,43
1315,2022,2022-06-23,Melbourne,Brisbane Lions,MCG,0.5658,4.43,0.6170,9.60,64
1316,2022,2022-06-24,Western Bulldogs,Hawthorn,Marvel Stadium,0.7704,22.44,0.7610,22.90,42
1317,2022,2022-06-24,West Coast,Essendon,Perth Stadium,0.3503,-10.87,0.3140,-15.60,10
1318,2022,2022-06-25,Carlton,Fremantle,Marvel Stadium,0.4794,-1.34,0.5060,0.50,31
1319,2022,2022-06-25,Geelong,Richmond,MCG,0.6907,14.43,0.5600,4.90,3
1320,2022,2022-06-25,Sydney,St Kilda,SCG,0.6526,11.11,0.6890,15.90,51
1321,2022,2022-06-26,North Melbourne,Adelaide,Ninja Stadium,0.4713,-1.87,0.3380,-13.50,-57
1322,2022,2022-06-26,Collingwood,GWS Giants,MCG,0.6857,13.97,0.6770,14.80,11
1323,2022,2022-06-26,Port Adelaide,Gold Coast,Adelaide Oval,0.6739,12.93,0.6150,9.40,2
1324,2022,2022-06-30,Brisbane Lions,Western Bulldogs,Gabba,0.7263,17.80,0.6940,16.30,41
1325,2022,2022-07-01,Carlton,St Kilda,Marvel Stadium,0.5100,0.64,0.5250,2.00,-15
1326,2022,2022-07-02,Essendon,Sydney,MCG,0.3378,-11.92,0.3360,-13.60,9
1327,2022,2022-07-02,Adelaide,Melbourne,Adelaide Oval,0.2741,-17.76,0.2330,-23.40,-29
1328,2022,2022-07-02,Gold Coast,Collingwood,Carrara,0.4669,-2.17,0.5620,5.00,-5
1329,2022,2022-07-02,Geelong,North Melbourne,Kardinia Park,0.9069,42.99,0.9590,56.20,112
1330,2022,2022-07-03,Richmond,West Coast,MCG,0.8455,32.07,0.9060,42.50,35
1331,2022,2022-07-03,GWS Giants,Hawthorn,Sydney Showground,0.6062,7.40,0.6440,11.90,22
1332,2022,2022-07-03,Fremantle,Port Adelaide,Perth Stadium,0.5243,1.58,0.6660,13.80,8
1333,2022,2022-07-07,Geelong,Melbourne,Kardinia Park,0.5040,0.26,0.5570,4.60,28
1334,2022,2022-07-08,Sydney,Western Bulldogs,SCG,0.6087,7.60,0.5790,6.30,53
1335,2022,2022-07-09,Collingwood,North Melbourne,MCG,0.8468,32.26,0.9370,48.70,7
1336,2022,2022-07-09,Gold Coast,Richmond,Carrara,0.4740,-1.69,0.5490,4.00,2
1337,2022,2022-07-09,St Kilda,Fremantle,Marvel Stadium,0.5788,5.37,0.5180,1.40,-41
1338,2022,2022-07-09,Port Adelaide,GWS Giants,Adelaide Oval,0.7360,18.77,0.6770,14.70,55
1339,2022,2022-07-10,Brisbane Lions,Essendon,Gabba,0.7375,18.92,0.7520,21.60,-10
1340,2022,2022-07-10,Hawthorn,Adelaide,Marvel Stadium,0.5407,2.68,0.5310,2.50,32
1341,2022,2022-07-10,West Coast,Carlton,Perth Stadium,0.2793,-17.25,0.2650,-20.00,-63
1342,2022,2022-07-15,Western Bulldogs,St Kilda,Marvel Stadium,0.6032,7.18,0.6950,16.40,28
1343,2022,2022-07-16,Adelaide,Collingwood,Adelaide Oval,0.4295,-4.77,0.4870,-1.00,-5
1344,2022,2022-07-16,GWS Giants,Brisbane Lions,Manuka Oval,0.4169,-5.68,0.4790,-1.70,-40
1345,2022,2022-07-16,North Melbourne,Richmond,Marvel Stadium,0.2267,-22.76,0.0980,-41.70,4
1346,2022,2022-07-16,Carlton,Geelong,MCG,0.3547,-10.51,0.3310,-14.10,-30
1347,2022,2022-07-16,Fremantle,Sydney,Perth Stadium,0.5639,4.30,0.5530,4.30,-17
1348,2022,2022-07-17,Hawthorn,West Coast,MCG,0.7114,16.35,0.8610,35.00,25
1349,2022,2022-07-17,Melbourne,Port Adelaide,Traeger Park,0.6442,10.42,0.6230,10.10,14
1350,2022,2022-07-17,Essendon,Gold Coast,Marvel Stadium,0.5645,4.34,0.5510,4.20,48
1351,2022,2022-07-22,Richmond,Fremantle,Marvel Stadium,0.5225,1.46,0.5770,6.20,0
1352,2022,2022-07-23,Sydney,Adelaide,SCG,0.8290,29.70,0.8680,35.90,33
1353,2022,2022-07-23,North Melbourne,Hawthorn,Ninja Stadium,0.4338,-4.46,0.2330,-23.40,-46
1354,2022,2022-07-23,Port Adelaide,Geelong,Adelaide Oval,0.4345,-4.41,0.3760,-10.10,-12
1355,2022,2022-07-23,Brisbane Lions,Gold Coast,Gabba,0.8256,29.23,0.8180,29.20,17
1356,2022,2022-07-23,Western Bulldogs,Melbourne,Marvel Stadium,0.4361,-4.29,0.4610,-3.10,10
1357,2022,2022-07-24,Carlton,GWS Giants,Marvel Stadium,0.7439,19.58,0.7690,23.60,36
1358,2022,2022-07-24,Collingwood,Essendon,MCG,0.6421,10.24,0.5500,4.00,4
1359,2022,2022-07-24,West Coast,St Kilda,Perth Stadium,0.2672,-18.45,0.2540,-21.30,-28
1360,2022,2022-07-29,Fremantle,Melbourne,Perth Stadium,0.4270,-4.95,0.4900,-0.80,-46
1361,2022,2022-07-30,Collingwood,Port Adelaide,MCG,0.6291,9.19,0.6140,9.20,6
1362,2022,2022-07-30,Sydney,GWS Giants,SCG,0.8198,28.45,0.7510,21.70,73
1363,2022,2022-07-30,St Kilda,Hawthorn,Marvel Stadium,0.6704,12.63,0.5470,3.80,12
1364,2022,2022-07-30,Geelong,Western Bulldogs,Kardinia Park,0.7274,17.91,0.7360,20.10,28
1365,2022,2022-07-30,Adelaide,Carlton,Adelaide Oval,0.3598,-10.09,0.3660,-10.90,29
1366,2022,2022-07-31,Gold Coast,West Coast,Carrara,0.7449,19.68,0.8050,27.50,3
1367,2022,2022-07-31,Richmond,Brisbane Lions,MCG,0.4036,-6.66,0.5670,5.40,7
1368,2022,2022-07-31,Essendon,North Melbourne,Marvel Stadium,0.8222,28.77,0.8940,40.00,48
1369,2022,2022-08-05,Melbourne,Collingwood,MCG,0.7461,19.81,0.6980,16.60,-7
1370,2022,2022-08-06,Hawthorn,Gold Coast,UTAS Stadium,0.5153,0.99,0.5620,5.00,7
1371,2022,2022-08-06,GWS Giants,Essendon,Sydney Showground,0.4197,-5.48,0.4730,-2.10,27
1372,2022,2022-08-06,Western Bulldogs,Fremantle,Marvel Stadium,0.6358,9.73,0.7420,20.80,-17
1373,2022,2022-08-06,Geelong,St Kilda,Kardinia Park,0.7461,19.81,0.8190,29.20,45
1374,2022,2022-08-06,Port Adelaide,Richmond,Adelaide Oval,0.5704,4.76,0.5850,6.90,-38
1375,2022,2022-08-07,North Melbourne,Sydney,Marvel Stadium,0.1621,-30.96,0.0780,-45.40,-38
1376,2022,2022-08-07,Brisbane Lions,Carlton,Gabba,0.8117,27.39,0.7890,25.60,33
1377,2022,2022-08-07,West Coast,Adelaide,Perth Stadium,0.4129,-5.97,0.4420,-4.70,-16
1378,2022,2022-08-12,St Kilda,Brisbane Lions,Marvel Stadium,0.3984,-7.05,0.3290,-14.20,-15
1379,2022,2022-08-13,Western Bulldogs,GWS Giants,Marvel Stadium,0.7707,22.46,0.8250,29.90,5
1380,2022,2022-08-13,Adelaide,North Melbourne,Adelaide Oval,0.7530,20.54,0.8550,33.80,29
1381,2022,2022-08-13,Gold Coast,Geelong,Carrara,0.2171,-23.86,0.2230,-24.40,-60
1382,2022,2022-08-13,Melbourne,Carlton,MCG,0.8458,32.11,0.7830,25.10,5
1383,2022,2022-08-13,Fremantle,West Coast,Perth Stadium,0.8866,38.90,0.8890,39.10,24
1384,2022,2022-08-14,Richmond,Hawthorn,MCG,0.7809,23.63,0.7420,20.80,61
1385,2022,2022-08-14,Sydney,Collingwood,SCG,0.6966,14.97,0.7850,25.20,27
1386,2022,2022-08-14,Essendon,Port Adelaide,Marvel Stadium,0.5373,2.45,0.5920,7.40,-84
1387,2022,2022-08-19,Brisbane Lions,Melbourne,Gabba,0.5556,3.71,0.5860,7.00,-58
1388,2022,2022-08-20,GWS Giants,Fremantle,Manuka Oval,0.3819,-8.33,0.3770,-10.10,-20
1389,2022,2022-08-20,North Melbourne,Gold Coast,Marvel Stadium,0.3303,-12.57,0.3030,-16.70,-67
1390,2022,2022-08-20,Geelong,West Coast,Kardinia Park,0.9451,53.08,0.9770,64.30,85
1391,2022,2022-08-20,Essendon,Richmond,MCG,0.4090,-6.26,0.3460,-12.80,-66
1392,2022,2022-08-20,Port Adelaide,Adelaide,Adelaide Oval,0.7563,20.89,0.6880,15.80,56
1393,2022,2022-08-21,Hawthorn,Western Bulldogs,UTAS Stadium,0.3141,-14.00,0.2950,-17.40,-23
1394,2022,2022-08-21,Carlton,Collingwood,MCG,0.3713,-9.16,0.5140,1.10,-1
1395,2022,2022-08-21,St Kilda,Sydney,Marvel Stadium,0.2939,-15.85,0.2510,-21.70,-14
1396,2022,2022-09-01,Brisbane Lions,Richmond,Gabba,0.5734,4.98,0.4980,-0.20,2
1397,2022,2022-09-02,Melbourne,Sydney,MCG,0.6443,10.42,0.5800,6.50,-22
1398,2022,2022-09-03,Geelong,Collingwood,MCG,0.7530,20.54,0.7720,24.10,6
1399,2022,2022-09-03,Fremantle,Western Bulldogs,Perth Stadium,0.5929,6.41,0.5910,7.50,13
1400,2022,2022-09-09,Melbourne,Brisbane Lions,MCG,0.7495,20.16,0.7470,21.50,-13
1401,2022,2022-09-10,Collingwood,Fremantle,MCG,0.5749,5.08,0.5500,4.10,20
1402,2022,2022-09-16,Geelong,Brisbane Lions,MCG,0.7241,17.58,0.7960,26.80,71
1403,2022,2022-09-17,Sydney,Collingwood,SCG,0.7237,17.55,0.7340,20.20,1
1404,2022,2022-09-24,Geelong,Sydney,MCG,0.6533,11.17,0.6630,13.60,81
1405,2023,2023-03-16,Richmond,Carlton,MCG,0.6963,14.94,0.6030,8.50,0
1406,2023,2023-03-17,Geelong,Collingwood,MCG,0.7128,16.49,0.6410,11.70,-22
1407,2023,2023-03-18,North Melbourne,West Coast,Marvel Stadium,0.5276,1.80,0.4860,-1.20,5
1408,2023,2023-03-18,Port Adelaide,Brisbane Lions,Adelaide Oval,0.4474,-3.50,0.6100,9.10,54
1409,2023,2023-03-18,Melbourne,Western Bulldogs,MCG,0.6080,7.54,0.4930,-0.50,50
1410,2023,2023-03-18,Gold Coast,Sydney,Carrara,0.2879,-16.42,0.4290,-5.80,-49
1411,2023,2023-03-19,GWS Giants,Adelaide,Sydney Showground,0.5836,5.72,0.5850,7.00,16
1412,2023,2023-03-19,Hawthorn,Essendon,MCG,0.5823,5.62,0.4950,-0.40,-59
1413,2023,2023-03-19,St Kilda,Fremantle,Marvel Stadium,0.3993,-6.98,0.4330,-5.50,15
1414,2023,2023-03-23,Carlton,Geelong,MCG,0.3518,-10.75,0.4140,-7.00,8
1415,2023,2023-03-24,Brisbane Lions,Melbourne,Gabba,0.5561,3.74,0.4030,-7.90,11
1416,2023,2023-03-25,Collingwood,Port Adelaide,MCG,0.6921,14.56,0.5410,3.30,71
1417,2023,2023-03-25,Adelaide,Richmond,Adelaide Oval,0.3150,-13.91,0.4720,-2.30,-32
1418,2023,2023-03-25,Western Bulldogs,St Kilda,Marvel Stadium,0.5790,5.38,0.6100,9.00,-51
1419,2023,2023-03-25,Fremantle,North Melbourne,Perth Stadium,0.8766,37.08,0.8760,37.10,-1
1420,2023,2023-03-26,Sydney,Hawthorn,SCG,0.8800,37.69,0.8410,32.20,81
1421,2023,2023-03-26,Essendon,Gold Coast,Marvel Stadium,0.6031,7.17,0.7040,17.20,28
1422,2023,2023-03-26,West Coast,GWS Giants,Perth Stadium,0.3999,-6.94,0.4920,-0.70,19
1423,2023,2023-03-30,Western Bulldogs,Brisbane Lions,Marvel Stadium,0.4324,-4.55,0.5960,7.90,14
1424,2023,2023-03-31,Collingwood,Richmond,MCG,0.6870,14.09,0.6670,14.00,14
1425,2023,2023-04-01,Hawthorn,North Melbourne,UTAS Stadium,0.7538,20.62,0.6220,10.10,19
1426,2023,2023-04-01,GWS Giants,Carlton,Sydney Showground,0.3787,-8.58,0.4080,-7.60,-10
1427,2023,2023-04-01,St Kilda,Essendon,MCG,0.6263,8.97,0.4450,-4.40,18
1428,2023,2023-04-01,Port Adelaide,Adelaide,Adelaide Oval,0.7623,21.54,0.7190,18.80,-31
1429,2023,2023-04-02,Gold Coast,Geelong,Carrara,0.2795,-17.23,0.3100,-16.10,19
1430,2023,2023-04-02,Melbourne,Sydney,MCG,0.3979,-7.09,0.5090,0.70,50
1431,2023,2023-04-02,Fremantle,West Coast,Perth Stadium,0.8330,30.26,0.7170,18.60,41
1432,2023,2023-04-06,Brisbane Lions,Collingwood,Gabba,0.4469,-3.54,0.4750,-2.00,33
1433,2023,2023-04-07,North Melbourne,Carlton,Marvel Stadium,0.2641,-18.76,0.1960,-27.70,-23
1434,2023,2023-04-08,Adelaide,Fremantle,Adelaide Oval,0.4482,-3.45,0.6260,10.40,39
1435,2023,2023-04-08,Richmond,Western Bulldogs,MCG,0.6302,9.28,0.6020,8.40,-5
1436,2023,2023-04-08,Sydney,Port Adelaide,SCG,0.7870,24.34,0.6640,13.70,-2
1437,2023,2023-04-08,St Kilda,Gold Coast,Marvel Stadium,0.7079,16.02,0.6500,12.50,53
1438,2023,2023-04-09,Essendon,GWS Giants,Marvel Stadium,0.6745,12.99,0.6800,15.10,13
1439,2023,2023-04-09,West Coast,Melbourne,Perth Stadium,0.1394,-34.39,0.1370,-35.40,-63
1440,2023,2023-04-10,Geelong,Hawthorn,MCG,0.8434,31.75,0.8130,28.70,82
